channel_name,texts,vertex_type
stranavozmojnostey,stranavozmojnostey.yaml,channel
scienpolicy,scienpolicy.yaml,channel
senezh_rsv,senezh_rsv.yaml,channel
mnm_masterskaya,mnm_masterskaya.yaml,channel
yaprofessional,yaprofessional.yaml,channel
teacheroffuture,teacheroffuture.yaml,channel
case_in,case_in.yaml,channel
onf_front,onf_front.yaml,channel
welcomecup,welcomecup.yaml,channel
hackathons_ai,hackathons_ai.yaml,channel
edstats,edstats.yaml,channel
npnauka,npnauka.yaml,channel
chancebox,chancebox.yaml,channel
rsm_official_tg,rsm_official_tg.yaml,channel
russianleaders,russianleaders.yaml,channel
knifemedia,knifemedia.yaml,channel
szhenov,szhenov.yaml,channel
government_rus,government_rus.yaml,channel
pao_polyus,pao_polyus.yaml,channel
lobachevsky_university,lobachevsky_university.yaml,channel
fefudvfu,fefudvfu.yaml,channel
volggmu_vuz,volggmu_vuz.yaml,channel
rshblife,rshblife.yaml,channel
sibfuofficial,sibfuofficial.yaml,channel
news_susu,news_susu.yaml,channel
go_moskva,go_moskva.yaml,channel
mpeiuniversity,mpeiuniversity.yaml,channel
icgsoran,icgsoran.yaml,channel
nop_rectors,nop_rectors.yaml,channel
ano_dialog,ano_dialog.yaml,channel
probrazovanie,probrazovanie.yaml,channel
kbsu1957,kbsu1957.yaml,channel
yandex,yandex.yaml,channel
maydecree,maydecree.yaml,channel
nust_misis,nust_misis.yaml,channel
gorbyrock,gorbyrock.yaml,channel
mariavladimirovnazakharova,mariavladimirovnazakharova.yaml,channel
lifepetersburg,lifepetersburg.yaml,channel
chuvsu21,chuvsu21.yaml,channel
enginethefuture,enginethefuture.yaml,channel
rector_muctr,rector_muctr.yaml,channel
zanauku,zanauku.yaml,channel
pgusha,pgusha.yaml,channel
hse_live,hse_live.yaml,channel
rosmolodez,rosmolodez.yaml,channel
urfu_ru,urfu_ru.yaml,channel
maiuniversity,maiuniversity.yaml,channel
netology_ru,netology_ru.yaml,channel
mospolytech,mospolytech.yaml,channel
efko_group,efko_group.yaml,channel
gendaieye,gendaieye.yaml,channel
alma_mater_sakhgu,alma_mater_sakhgu.yaml,channel
tomskuniversity,tomskuniversity.yaml,channel
youthpolicy,youthpolicy.yaml,channel
ggntu_official,ggntu_official.yaml,channel
careercentreitmo,careercentreitmo.yaml,channel
nesmotrite,nesmotrite.yaml,channel
rsue_rinh,rsue_rinh.yaml,channel
thevyshka,thevyshka.yaml,channel
itsmoretv,itsmoretv.yaml,channel
dtroad,dtroad.yaml,channel
polytech_petra,polytech_petra.yaml,channel
kznuniversity,kznuniversity.yaml,channel
newstpu,newstpu.yaml,channel
press_godnauki,press_godnauki.yaml,channel
minobrnaukiofficial,minobrnaukiofficial.yaml,channel
ivanovdirect,ivanovdirect.yaml,channel
csu76,csu76.yaml,channel
dstu_live,dstu_live.yaml,channel
rasofficial,rasofficial.yaml,channel
engineerup,engineerup.yaml,channel
konstyped,konstyped.yaml,channel
msuthefirst,msuthefirst.yaml,channel
mtmuseum,mtmuseum.yaml,channel
may1881,may1881.yaml,channel
stranav,stranav.yaml,channel
ssla_official,ssla_official.yaml,channel
ncfulife,ncfulife.yaml,channel
sberbank,sberbank.yaml,channel
innokadriu,innokadriu.yaml,channel
telegamera,telegamera.yaml,channel
itmolnia,itmolnia.yaml,channel
politjoystic,politjoystic.yaml,channel
scientificrussia,scientificrussia.yaml,channel
rian_ru,rian_ru.yaml,channel
russicatop,russicatop.yaml,channel
artemmetelev,artemmetelev.yaml,channel
official_mgupp,official_mgupp.yaml,channel
bluntmedia,bluntmedia.yaml,channel
dbelyakov,dbelyakov.yaml,channel
olgapetrovann,olgapetrovann.yaml,channel
go_university,go_university.yaml,channel
tv360,tv360.yaml,channel
raex_ed,raex_ed.yaml,channel
riwmoscow,riwmoscow.yaml,channel
rosseti_official,rosseti_official.yaml,channel
boilingmephi,boilingmephi.yaml,channel
russica2,russica2.yaml,channel
vakasamara,vakasamara.yaml,channel
dimsmirnov175,dimsmirnov175.yaml,channel
solovievlive,solovievlive.yaml,channel
mishin_learning,mishin_learning.yaml,channel
forklogai,forklogai.yaml,channel
parfentiev_club,parfentiev_club.yaml,channel
ykt2100,ykt2100.yaml,channel
angara18,angara18.yaml,channel
rukatehon,rukatehon.yaml,channel
vladlentatarsky,vladlentatarsky.yaml,channel
tvoyspb,tvoyspb.yaml,channel
prezident_2024,prezident_2024.yaml,channel
okkomovies,okkomovies.yaml,channel
mephicareer,mephicareer.yaml,channel
j_links,j_links.yaml,channel
breakingmash,breakingmash.yaml,channel
nuhachrus,nuhachrus.yaml,channel
greenfolder,greenfolder.yaml,channel
spbsetu,spbsetu.yaml,channel
anthro_fun,anthro_fun.yaml,channel
lastofrus,lastofrus.yaml,channel
vwordmedia,vwordmedia.yaml,channel
bmstu1830,bmstu1830.yaml,channel
posadky,posadky.yaml,channel
bigtransfer2024,bigtransfer2024.yaml,channel
sahalin_inregiontoday,sahalin_inregiontoday.yaml,channel
kremlinprachka,kremlinprachka.yaml,channel
chtede,chtede.yaml,channel
obuhovpro,obuhovpro.yaml,channel
rsf_news,rsf_news.yaml,channel
ochki_zaychki,ochki_zaychki.yaml,channel
regpol,regpol.yaml,channel
olegderipaska,olegderipaska.yaml,channel
thetltsu,thetltsu.yaml,channel
z_vorchun,z_vorchun.yaml,channel
preemnik,preemnik.yaml,channel
noctulatech,noctulatech.yaml,channel
rtvinews,rtvinews.yaml,channel
sevsu_live,sevsu_live.yaml,channel
bespirozhok,bespirozhok.yaml,channel
su2050,su2050.yaml,channel
made_in_kg,made_in_kg.yaml,channel
prokhorov11,prokhorov11.yaml,channel
voblast,voblast.yaml,channel
sarmatskiy,sarmatskiy.yaml,channel
sinelor,sinelor.yaml,channel
guber2,guber2.yaml,channel
dmitrii_sergeyevich,dmitrii_sergeyevich.yaml,channel
gubery,gubery.yaml,channel
tikandelaki,tikandelaki.yaml,channel
ostorozhno_novosti,ostorozhno_novosti.yaml,channel
kamchat0,kamchat0.yaml,channel
thebell_io,thebell_io.yaml,channel
emphasises,emphasises.yaml,channel
dwglavnoe,dwglavnoe.yaml,channel
tv360_giveawaybot,tv360_giveawaybot.yaml,channel
rianovostiamerica,rianovostiamerica.yaml,channel
polituprava,polituprava.yaml,channel
ranepa_expertise,ranepa_expertise.yaml,channel
minobrnauki,minobrnauki.yaml,channel
abbasgallyamovpolitics,abbasgallyamovpolitics.yaml,channel
vologodskoy_konvoy,vologodskoy_konvoy.yaml,channel
skolkovo_channel,skolkovo_channel.yaml,channel
segozavr,segozavr.yaml,channel
tpunews,tpunews.yaml,channel
guboprb,guboprb.yaml,channel
orex62,orex62.yaml,channel
dplatonova,dplatonova.yaml,channel
vvobanditos,vvobanditos.yaml,channel
edtrends,edtrends.yaml,channel
criminalru,criminalru.yaml,channel
volunteerhse,volunteerhse.yaml,channel
kashinguru,kashinguru.yaml,channel
holodmedia,holodmedia.yaml,channel
snomephi,snomephi.yaml,channel
benzokolonia,benzokolonia.yaml,channel
ia_rossa,ia_rossa.yaml,channel
yasno123,yasno123.yaml,channel
gre4ark,gre4ark.yaml,channel
rossotrudnichestvo,rossotrudnichestvo.yaml,channel
umoora72,umoora72.yaml,channel
tass_agency,tass_agency.yaml,channel
religiontoday,religiontoday.yaml,channel
novosibirsk_state_university,novosibirsk_state_university.yaml,channel
ausguck,ausguck.yaml,channel
terzdrsm,terzdrsm.yaml,channel
energopolee,energopolee.yaml,channel
energytodaygroup,energytodaygroup.yaml,channel
mid_russia,mid_russia.yaml,channel
staraya,staraya.yaml,channel
proboknet,proboknet.yaml,channel
uraleveryday,uraleveryday.yaml,channel
anatoly_nesmiyan,anatoly_nesmiyan.yaml,channel
uranews,uranews.yaml,channel
new_militarycolumnist,new_militarycolumnist.yaml,channel
teamnavalny,teamnavalny.yaml,channel
ckt18,ckt18.yaml,channel
gusyandrew,gusyandrew.yaml,channel
k_sladkaaya,k_sladkaaya.yaml,channel
kostromama,kostromama.yaml,channel
bloomberg4you,bloomberg4you.yaml,channel
tradinburg,tradinburg.yaml,channel
daytec,daytec.yaml,channel
ebuldinskyspez,ebuldinskyspez.yaml,channel
plekhanovuniverse,plekhanovuniverse.yaml,channel
esportsindustry,esportsindustry.yaml,channel
politolog_orlov,politolog_orlov.yaml,channel
scriptirum,scriptirum.yaml,channel
polittemnik,polittemnik.yaml,channel
skurlatovlive,skurlatovlive.yaml,channel
munpes,munpes.yaml,channel
clubrf,clubrf.yaml,channel
szfo_media,szfo_media.yaml,channel
boilingchat,boilingchat.yaml,channel
mediaveter,mediaveter.yaml,channel
bbbreaking,bbbreaking.yaml,channel
rznpolitics,rznpolitics.yaml,channel
taynaya_kantselyariya,taynaya_kantselyariya.yaml,channel
needleraw,needleraw.yaml,channel
ohotniy,ohotniy.yaml,channel
andrafanaslive,andrafanaslive.yaml,channel
bo_kanal,bo_kanal.yaml,channel
dl_stories,dl_stories.yaml,channel
kremlin_sekret,kremlin_sekret.yaml,channel
anti_navalny,anti_navalny.yaml,channel
belguber,belguber.yaml,channel
signal_ru,signal_ru.yaml,channel
daokedao,daokedao.yaml,channel
addstickers,addstickers.yaml,channel
ru_global,ru_global.yaml,channel
mpogrebinskij,mpogrebinskij.yaml,channel
backroom_whisperer,backroom_whisperer.yaml,channel
svoidanash,svoidanash.yaml,channel
dimonundmir,dimonundmir.yaml,channel
sterv38,sterv38.yaml,channel
vprorok,vprorok.yaml,channel
zemlyanushka,zemlyanushka.yaml,channel
per_i_ozv,per_i_ozv.yaml,channel
russianmacro,russianmacro.yaml,channel
medvedevvesti,medvedevvesti.yaml,channel
piter_po_lubvi,piter_po_lubvi.yaml,channel
uraldaily,uraldaily.yaml,channel
olen_nn,olen_nn.yaml,channel
bashica2,bashica2.yaml,channel
sfedu_study,sfedu_study.yaml,channel
aviatorshina,aviatorshina.yaml,channel
orel_politika,orel_politika.yaml,channel
chestnyjdetektiv,chestnyjdetektiv.yaml,channel
nebrexnya,nebrexnya.yaml,channel
mosrutop,mosrutop.yaml,channel
cynic2020,cynic2020.yaml,channel
rvssu,rvssu.yaml,channel
sashakots,sashakots.yaml,channel
octagon_ural,octagon_ural.yaml,channel
oreshkins,oreshkins.yaml,channel
sputnik_vaccine,sputnik_vaccine.yaml,channel
ntnzn,ntnzn.yaml,channel
universitetmiet,universitetmiet.yaml,channel
info_mfua,info_mfua.yaml,channel
regnum_na,regnum_na.yaml,channel
ninasudnitsina_samara,ninasudnitsina_samara.yaml,channel
informpskov,informpskov.yaml,channel
dr_alex_sosnowski,dr_alex_sosnowski.yaml,channel
gutenev_vv,gutenev_vv.yaml,channel
thegraschenkov,thegraschenkov.yaml,channel
alibaba_05,alibaba_05.yaml,channel
miptru,miptru.yaml,channel
uralscience,uralscience.yaml,channel
politgen,politgen.yaml,channel
friend_blog,friend_blog.yaml,channel
semenovcons,semenovcons.yaml,channel
rosnanoinfo,rosnanoinfo.yaml,channel
ecolog29,ecolog29.yaml,channel
vesparevenge,vesparevenge.yaml,channel
iron_feliks,iron_feliks.yaml,channel
burovaia,burovaia.yaml,channel
sputnikby,sputnikby.yaml,channel
ledorub_merkadera,ledorub_merkadera.yaml,channel
nevlastny,nevlastny.yaml,channel
obrazbuduschego2,obrazbuduschego2.yaml,channel
t34newsfeed,t34newsfeed.yaml,channel
rtvimain,rtvimain.yaml,channel
radio_sputnik,radio_sputnik.yaml,channel
germanologia,germanologia.yaml,channel
volgabrief,volgabrief.yaml,channel
wek_ru,wek_ru.yaml,channel
itsnofact,itsnofact.yaml,channel
sber_rudalle_xl_bot,sber_rudalle_xl_bot.yaml,channel
prognozyvk,prognozyvk.yaml,channel
rightcourse,rightcourse.yaml,channel
finansistrus,finansistrus.yaml,channel
madam_secretar,madam_secretar.yaml,channel
politforum,politforum.yaml,channel
dumkame,dumkame.yaml,channel
master_pera,master_pera.yaml,channel
sibcyrulik,sibcyrulik.yaml,channel
prapalitiku,prapalitiku.yaml,channel
tv360ru_bot,tv360ru_bot.yaml,channel
chitaynas,chitaynas.yaml,channel
tularegion71,tularegion71.yaml,channel
gender_gap,gender_gap.yaml,channel
sbagdasarov,sbagdasarov.yaml,channel
trash_science,trash_science.yaml,channel
vrogov,vrogov.yaml,channel
gosuslugi,gosuslugi.yaml,channel
golosrn,golosrn.yaml,channel
kstati_p,kstati_p.yaml,channel
good78news,good78news.yaml,channel
shaltaybabay,shaltaybabay.yaml,channel
bfmnews,bfmnews.yaml,channel
rt_russian,rt_russian.yaml,channel
tgrussia,tgrussia.yaml,channel
ddrobnitski,ddrobnitski.yaml,channel
tegive_bot,tegive_bot.yaml,channel
antiskrepa,antiskrepa.yaml,channel
partynewpeople,partynewpeople.yaml,channel
kuraifutlar,kuraifutlar.yaml,channel
overheard_rzn,overheard_rzn.yaml,channel
bolkunets,bolkunets.yaml,channel
topinfographic,topinfographic.yaml,channel
rudnstudentslife,rudnstudentslife.yaml,channel
samsmu,samsmu.yaml,channel
mskuratov,mskuratov.yaml,channel
khamsin_season,khamsin_season.yaml,channel
kaktovottak,kaktovottak.yaml,channel
nikonovlive,nikonovlive.yaml,channel
notdead34,notdead34.yaml,channel
vneshpol,vneshpol.yaml,channel
