ID1,ID2,link_type,vertex_from,weight
stranavozmojnostey,scienpolicy,link,,18
stranavozmojnostey,senezh_rsv,link,,26
stranavozmojnostey,mnm_masterskaya,link,,11
stranavozmojnostey,yaprofessional,link,,16
stranavozmojnostey,teacheroffuture,link,,8
stranavozmojnostey,case_in,link,,4
stranavozmojnostey,onf_front,link,,2
stranavozmojnostey,welcomecup,link,,4
stranavozmojnostey,hackathons_ai,link,,4
stranavozmojnostey,edstats,link,,2
stranavozmojnostey,npnauka,link,,5
stranavozmojnostey,chancebox,link,,2
stranavozmojnostey,rsm_official_tg,link,,12
stranavozmojnostey,russianleaders,link,,22
stranavozmojnostey,knifemedia,link,,3
stranavozmojnostey,szhenov,link,,5
stranavozmojnostey,government_rus,link,,3
stranavozmojnostey,lobachevsky_university,link,,1
stranavozmojnostey,fefudvfu,link,,1
stranavozmojnostey,rector_muctr,link,,2
stranavozmojnostey,rsue_rinh,link,,3
stranavozmojnostey,newstpu,link,,4
stranavozmojnostey,politjoystic,link,,2
stranavozmojnostey,rosseti_official,link,,2
stranavozmojnostey,dimsmirnov175,link,,2
stranavozmojnostey,kremlinprachka,link,,2
stranavozmojnostey,rectorsofrussia,link,,4
scienpolicy,stranavozmojnostey,link,,18
scienpolicy,senezh_rsv,link,,7
scienpolicy,mnm_masterskaya,link,,9
scienpolicy,npnauka,link,,10
scienpolicy,russianleaders,link,,5
scienpolicy,szhenov,link,,55
scienpolicy,government_rus,link,,5
scienpolicy,mpeiuniversity,link,,4
scienpolicy,nop_rectors,link,,92
scienpolicy,ano_dialog,link,,2
scienpolicy,probrazovanie,link,,2
scienpolicy,kbsu1957,link,,3
scienpolicy,maydecree,link,,5
scienpolicy,nust_misis,link,,21
scienpolicy,enginethefuture,link,,14
scienpolicy,rector_muctr,link,,21
scienpolicy,zanauku,link,,2
scienpolicy,mospolytech,link,,4
scienpolicy,youthpolicy,link,,4
scienpolicy,newstpu,link,,8
scienpolicy,press_godnauki,link,,3
scienpolicy,minobrnaukiofficial,link,,5
