nick,texts,vertex_type
sold7777,sold7777.yaml,person
tuuilindo,tuuilindo.yaml,person
Evdokija4478,Evdokija4478.yaml,person
GS9imGvOlH3hztM,GS9imGvOlH3hztM.yaml,person
elzaakupova730,elzaakupova730.yaml,person
biscuit918,biscuit918.yaml,person
HUROSHKA,HUROSHKA.yaml,person
h3SUph2I4CxhKZO,h3SUph2I4CxhKZO.yaml,person
i_sputnov2020,i_sputnov2020.yaml,person
alcashist,alcashist.yaml,person
di_diavol,di_diavol.yaml,person
NU_Koryakina,NU_Koryakina.yaml,person
alisamail7,alisamail7.yaml,person
NJ4TAMFlUElYzI8,NJ4TAMFlUElYzI8.yaml,person
ninti7,ninti7.yaml,person
timid_custodes,timid_custodes.yaml,person
lxADE2FCErdM2N5,lxADE2FCErdM2N5.yaml,person
ybudyan,ybudyan.yaml,person
SVRyTXAgyxu4Z0c,SVRyTXAgyxu4Z0c.yaml,person
pograncazhena,pograncazhena.yaml,person
Bskafandre,Bskafandre.yaml,person
Vladimi82222415,Vladimi82222415.yaml,person
AndreyNiagara62,AndreyNiagara62.yaml,person
VictorMaclaud,VictorMaclaud.yaml,person
demach21,demach21.yaml,person
CadenWolf,CadenWolf.yaml,person
LenaAn13,LenaAn13.yaml,person
vborovikov,vborovikov.yaml,person
Ordos77,Ordos77.yaml,person
Georg_sb_21,Georg_sb_21.yaml,person
RSiVjr6Fl4czBXY,RSiVjr6Fl4czBXY.yaml,person
Ulitka,Ulitka.yaml,person
2jBkZyrMalkytYo,2jBkZyrMalkytYo.yaml,person
Svirin1979,Svirin1979.yaml,person
SVA36933277,SVA36933277.yaml,person
SergeyYankovRu,SergeyYankovRu.yaml,person
Dmitry_BS,Dmitry_BS.yaml,person
shishov011,shishov011.yaml,person
koceryzka,koceryzka.yaml,person
Rh011,Rh011.yaml,person
polvod1995,polvod1995.yaml,person
Slide_Famous,Slide_Famous.yaml,person
LM31569648,LM31569648.yaml,person
kir_dik,kir_dik.yaml,person
AdamyanLevon,AdamyanLevon.yaml,person
_kriscool_,_kriscool_.yaml,person
Tapkinn,Tapkinn.yaml,person
wertu221,wertu221.yaml,person
IvanNik75550593,IvanNik75550593.yaml,person
4V2nLGxVsqD1NKn,4V2nLGxVsqD1NKn.yaml,person
Vasisualiy10,Vasisualiy10.yaml,person
