ID1,ID2,link_type,vertex_from,weight
Evdokija4478,kir_dik,link,,3
Evdokija4478,lentaruofficial,link,,2
Evdokija4478,lucia_morena7,link,,3
Evdokija4478,v_tretyakov,link,,2
GS9imGvOlH3hztM,i_sputnov2020,link,,2
GS9imGvOlH3hztM,lentaruofficial,link,,4
GS9imGvOlH3hztM,ProshlgdnLmonat,link,,1
GS9imGvOlH3hztM,Vityzeva,link,,1
h3SUph2I4CxhKZO,VictorMaclaud,link,,2
h3SUph2I4CxhKZO,MrMaaay,link,,1
h3SUph2I4CxhKZO,rushen1960,link,,1
h3SUph2I4CxhKZO,sympel077,link,,3
h3SUph2I4CxhKZO,YwY83fMtPgTRi9D,link,,3
h3SUph2I4CxhKZO,alyoha0070,link,,3
i_sputnov2020,GS9imGvOlH3hztM,link,,2
i_sputnov2020,shubkinar,link,,1
i_sputnov2020,lotos1527,link,,2
i_sputnov2020,v_tretyakov,link,,5
i_sputnov2020,ProshlgdnLmonat,link,,1
i_sputnov2020,Oxxa13,link,,2
alcashist,hrytch2,link,,3
alcashist,letov_2013,link,,2
alcashist,people__idiots,link,,3
alcashist,PaulNikolaich,link,,3
di_diavol,MrMaaay,link,,3
alisamail7,rushen1960,link,,1
alisamail7,aarakelyaan,link,,1
alisamail7,trumpunkt,link,,2
alisamail7,trucker228,link,,1
NJ4TAMFlUElYzI8,Olegkostin13,link,,3
ninti7,lentaruofficial,link,,3
lxADE2FCErdM2N5,v42yAeduHqynkAD,link,,3
ybudyan,St91521478,link,,3
ybudyan,Olegkostin13,link,,3
ybudyan,1ying_5tone,link,,3
ybudyan,red__laugh,link,,3
SVRyTXAgyxu4Z0c,MrMaaay,link,,2
SVRyTXAgyxu4Z0c,fess_laeda,link,,1
pograncazhena,Petrovich_Mos,link,,2
pograncazhena,alekseevarn,link,,2
pograncazhena,mar5700,link,,2
pograncazhena,WaveJuliablack,link,,2
pograncazhena,lentaruofficial,link,,3
pograncazhena,Serqei161rus,link,,2
pograncazhena,kozache_ssmid,link,,2
pograncazhena,aarakelyaan,link,,2
pograncazhena,JarritaLT,link,,2
pograncazhena,trucker228,link,,2
Vladimi82222415,rushen1960,link,,2
Vladimi82222415,v_tretyakov,link,,5
AndreyNiagara62,artemprotiv,link,,1
AndreyNiagara62,zosya_zosya,link,,1
AndreyNiagara62,MrMaaay,link,,1
AndreyNiagara62,fess_laeda,link,,1
VictorMaclaud,h3SUph2I4CxhKZO,link,,2
VictorMaclaud,paleshuk_bolota,link,,1
VictorMaclaud,rushen1960,link,,1
VictorMaclaud,lentaruofficial,link,,5
VictorMaclaud,Oskianocner,link,,3
VictorMaclaud,DeiGloriya,link,,3
VictorMaclaud,YwY83fMtPgTRi9D,link,,5
VictorMaclaud,NATALIA23706536,link,,3
CadenWolf,3i8T6nxKBnFOfH9,link,,3
CadenWolf,MusicTabletsss,link,,3
CadenWolf,Zuchtchausler,link,,3
LenaAn13,ZWZoNCY3IaP8MwD,link,,2
LenaAn13,LenskajaLyubov,link,,4
LenaAn13,GRfnNsLZRLuY6TJ,link,,4
LenaAn13,VByro2013,link,,4
LenaAn13,aleks_pasport,link,,2
LenaAn13,AlyansKaschej,link,,3
LenaAn13,v_tretyakov,link,,1
LenaAn13,GrebSG,link,,1
LenaAn13,amitana57,link,,1
LenaAn13,marinochka_San_,link,,4
LenaAn13,inna_raz,link,,1
LenaAn13,istafrina,link,,2
LenaAn13,ProshlgdnLmonat,link,,1
LenaAn13,Vityzeva,link,,1
vborovikov,MrMaaay,link,,3
vborovikov,O1EG_E,link,,3
Ordos77,MrMaaay,link,,3
Georg_sb_21,v_tretyakov,link,,3
Georg_sb_21,Vityzeva,link,,2
RSiVjr6Fl4czBXY,marinochka_San_,link,,1
RSiVjr6Fl4czBXY,Vityzeva,link,,3
Ulitka,lentaruofficial,link,,5
Ulitka,Master70410861,link,,1
Svirin1979,MssTatiana,link,,3
SVA36933277,v_tretyakov,link,,7
shishov011,v_tretyakov,link,,3
koceryzka,Vityzeva,link,,4
Rh011,v_tretyakov,link,,3
polvod1995,lentaruofficial,link,,7
polvod1995,3solidname,link,,7
polvod1995,LikeFine,link,,7
