ID1,ID2,link_type,vertex_from,weight
cesarrmzmtz8,CaraveoBertha,link,,5
Russ_Warrior,devletyargi31,link,,1
Russ_Warrior,YWN85,link,,3
Russ_Warrior,boscogonc,link,,5
Russ_Warrior,JorgeDiaz60,link,,3
Russ_Warrior,OnlyWongs,link,,6
Russ_Warrior,N_Komleva,link,,1
Russ_Warrior,MelanieGutacht1,link,,9
Russ_Warrior,MarinaGianluca,link,,3
Russ_Warrior,G47Mil,link,,1
Russ_Warrior,Rahim_Rugoba,link,,1
Russ_Warrior,lucma66,link,,3
Russ_Warrior,purewilayah,link,,5
Russ_Warrior,kinterano_2020,link,,3
Russ_Warrior,ASadziux,link,,9
Russ_Warrior,RamonArosemena5,link,,8
Russ_Warrior,Eurasian_talk,link,,5
Russ_Warrior,efignav,link,,1
Russ_Warrior,notfarmerwife,link,,6
Russ_Warrior,neusatzy,link,,1
Russ_Warrior,PietroDelPrete7,link,,7
Russ_Warrior,ErikaOSanoja,link,,3
Russ_Warrior,Max_Barbetti,link,,3
Russ_Warrior,sovboot,link,,2
Russ_Warrior,silentd78909988,link,,3
Russ_Warrior,Sunnipulse786,link,,3
Russ_Warrior,FromSevastopol,link,,1
Russ_Warrior,CTrekur,link,,3
Russ_Warrior,zoranium,link,,7
alitapaz,AbejaBlanca1303,link,,1
alitapaz,bolettieriok,link,,1
bill_bookersbay,Mont_Jiang,link,,1
Sirius_st,gFuHCjJcp6rwHNh,link,,4
Sirius_st,boscogonc,link,,1
devletyargi31,Russ_Warrior,link,,1
Anna57544519,rusallapiy,link,,6
Anna57544519,MSlavetski,link,,1
JGEHP,ErikaOSanoja,link,,3
erveza,drluis33,link,,2
wotuupto,Tess1462,link,,1
FMontespan,FedeBlancoBont1,link,,8
vdifiore,lukekolifa,link,,1
vdifiore,AbejaBlanca1303,link,,1
vdifiore,ElisaAliatta,link,,1
Gabor_Ever,CarlosDPicos,link,,1
Gabor_Ever,jonabed_alvarez,link,,2
wgoobar,JorgeDiaz60,link,,1
wgoobar,lechien82,link,,1
wgoobar,GonzaalezCamilo,link,,1
wgoobar,CiroAlbertoK1,link,,2
wgoobar,ElisaAliatta,link,,1
wgoobar,erjadiaz,link,,4
wgoobar,Silvia__Cuc,link,,5
wgoobar,sharpfang,link,,1
Greta_Romario,EduardoVazque12,link,,1
Greta_Romario,CiroAlbertoK1,link,,6
Greta_Romario,evitajauretche,link,,2
Greta_Romario,phal1,link,,1
Greta_Romario,ElisaAliatta,link,,1
Greta_Romario,Silvia__Cuc,link,,1
Greta_Romario,machupoume,link,,1
DanielAmando,SputnikV___,link,,1
Mo19791122,CaraveoBertha,link,,5
ivan_voichenko,somsok5412,link,,3
gFuHCjJcp6rwHNh,Sirius_st,link,,4
gFuHCjJcp6rwHNh,profeliascruz,link,,2
ServiciosPrensa,pamemar1,link,,1
typicalrussian3,mnogodene,link,,4
typicalrussian3,MSlavetski,link,,1
aguila_valiente,ErikaOSanoja,link,,3
koslov101,somsok5412,link,,6
YWN85,Russ_Warrior,link,,3
Brusselsness,lruiztrullols,link,,2
electfrahughes,MinetteJohnson,link,,13
electfrahughes,johnjoechad,link,,2
electfrahughes,zoranium,link,,1
marianasalem11,jonabed_alvarez,link,,1
Kelkian,CaraveoBertha,link,,5
boscogonc,Russ_Warrior,link,,5
boscogonc,Sirius_st,link,,1
boscogonc,IsbelioAcosta,link,,1
boscogonc,Tricera,link,,1
boscogonc,MarinaGianluca,link,,1
boscogonc,Rahim_Rugoba,link,,1
boscogonc,RGigi61,link,,1
boscogonc,ASadziux,link,,2
boscogonc,ura_henrique,link,,2
boscogonc,PietroDelPrete7,link,,2
boscogonc,KelvinM36943033,link,,1
boscogonc,phal1,link,,1
boscogonc,pedritobis,link,,1
boscogonc,CTrekur,link,,2
boscogonc,fhcluk,link,,1
boscogonc,Paquita_337,link,,2
DulceIsabel_,lauradelialuque,link,,1
DulceIsabel_,VozconEco,link,,2
DulceIsabel_,CarlosDPicos,link,,1
DulceIsabel_,jonabed_alvarez,link,,2
Soffotcka,lucma66,link,,1
Soffotcka,AASIB_ONG,link,,1
Soffotcka,MSlavetski,link,,1
CaraveoBertha,cesarrmzmtz8,link,,5
CaraveoBertha,Mo19791122,link,,5
CaraveoBertha,Kelkian,link,,5
CaraveoBertha,fenix1977,link,,5
CaraveoBertha,lauradelialuque,link,,7
CaraveoBertha,Ragnar85475616,link,,7
CaraveoBertha,IgnacioRabelo,link,,5
CaraveoBertha,roberwarrior,link,,2
CaraveoBertha,salgadohugo1,link,,5
CaraveoBertha,fnajeraoficial1,link,,3
CaraveoBertha,EdgarEstradaGlz,link,,3
CaraveoBertha,alejmri,link,,9
CaraveoBertha,cabezaDeLek,link,,3
CaraveoBertha,NGLDSTX3,link,,2
CaraveoBertha,edmundodary,link,,5
CaraveoBertha,Mick_S_R,link,,5
CaraveoBertha,VozconEco,link,,9
CaraveoBertha,do_irma,link,,4
CaraveoBertha,lanayelly4t,link,,3
CaraveoBertha,CarlosDPicos,link,,3
CaraveoBertha,KarlaVillar07,link,,2
CaraveoBertha,WilTorres40,link,,5
CaraveoBertha,AlmanzaOrpinel,link,,2
CaraveoBertha,os241299,link,,3
CaraveoBertha,capovaldez13,link,,3
CaraveoBertha,angmago9,link,,5
pamemar1,ServiciosPrensa,link,,1
pamemar1,Santicabjpm,link,,1
pamemar1,Gustavo95772104,link,,3
pamemar1,rad1011,link,,1
pamemar1,CiroAlbertoK1,link,,6
pamemar1,AbejaBlanca1303,link,,1
pamemar1,lawhiteangel,link,,6
pamemar1,neuquino21,link,,5
pamemar1,evitajauretche,link,,3
pamemar1,phal1,link,,1
pamemar1,erjadiaz,link,,1
pamemar1,Silvia__Cuc,link,,4
pamemar1,Andysimplement1,link,,2
ufkjxrfvjz,somsok5412,link,,1
fenix1977,CaraveoBertha,link,,5
fenix1977,Saguilar99,link,,2
Jdrk19,CiroAlbertoK1,link,,2
lauradelialuque,DulceIsabel_,link,,1
lauradelialuque,CaraveoBertha,link,,7
lauradelialuque,salgadohugo1,link,,2
lauradelialuque,arvanegas,link,,1
lauradelialuque,VozconEco,link,,1
lauradelialuque,do_irma,link,,1
lauradelialuque,CarlosDPicos,link,,2
IsbelioAcosta,boscogonc,link,,1
IsbelioAcosta,AlmaDelaSierra1,link,,1
IsbelioAcosta,ErikaOSanoja,link,,2
caricuao72,ErikaOSanoja,link,,5
Ragnar85475616,CaraveoBertha,link,,7
Ragnar85475616,CarlosDPicos,link,,7
vipintukur,eagle_mist,link,,3
vipintukur,reach4shashank,link,,6
vipintukur,naveenthacker,link,,8
vipintukur,drckamaraj,link,,3
vipintukur,UnmeshDr,link,,4
vipintukur,LokeshV98811381,link,,3
RosarioGerman60,CiroAlbertoK1,link,,1
RosaLulaBrasil,AlmaDelaSierra1,link,,2
SputnikV___,DanielAmando,link,,1
SputnikV___,Santicabjpm,link,,2
tcabarrus,chateau70,link,,5
JorgeDiaz60,Russ_Warrior,link,,3
JorgeDiaz60,wgoobar,link,,1
EduardoVazque12,Greta_Romario,link,,1
Santicabjpm,pamemar1,link,,1
Santicabjpm,SputnikV___,link,,2
Santicabjpm,FedeBlancoBont1,link,,1
PenaKLK,arturrr_,link,,2
danielarvizu3,VozconEco,link,,5
IgnacioRabelo,CaraveoBertha,link,,5
IgnacioRabelo,ExeOps,link,,1
PasinduKushan,AseedahS,link,,2
WhenstonedC,lmnysf,link,,1
HUMANBEINGONE,FromSevastopol,link,,2
HUMANBEINGONE,johnjoechad,link,,1
OnlyWongs,Russ_Warrior,link,,6
OnlyWongs,MelanieGutacht1,link,,2
1111011011l,VozconEco,link,,1
brainzine,RusEmbJakarta,link,,4
somsok5412,ivan_voichenko,link,,3
somsok5412,koslov101,link,,6
somsok5412,ufkjxrfvjz,link,,1
somsok5412,N_Komleva,link,,6
somsok5412,MarinaGianluca,link,,1
somsok5412,VZGb5mpibRkB9y4,link,,3
somsok5412,9xKf4nro6Zcz0Xb,link,,4
somsok5412,2727Marusya,link,,4
somsok5412,Skeeve703,link,,3
somsok5412,77nataliasf,link,,3
Yurimagua19,elis_yen,link,,2
stungoddess,Wolfie885,link,,2
Gustavo95772104,pamemar1,link,,3
Gustavo95772104,FedeBlancoBont1,link,,1
Gustavo95772104,CiroAlbertoK1,link,,2
roberwarrior,CaraveoBertha,link,,2
rad1011,pamemar1,link,,1
lechien82,wgoobar,link,,1
N_Komleva,Russ_Warrior,link,,1
N_Komleva,somsok5412,link,,6
N_Komleva,sovboot,link,,1
Tricera,boscogonc,link,,1
Tricera,WayneH87,link,,6
DonJoseGR,VozconEco,link,,2
MelanieGutacht1,Russ_Warrior,link,,9
MelanieGutacht1,OnlyWongs,link,,2
salgadohugo1,CaraveoBertha,link,,5
salgadohugo1,lauradelialuque,link,,2
salgadohugo1,VozconEco,link,,2
farawayfrome,fizzgoneflat,link,,3
Eraxite1,neusatzy,link,,2
AlmaDelaSierra1,IsbelioAcosta,link,,1
AlmaDelaSierra1,RosaLulaBrasil,link,,2
AlmaDelaSierra1,dante19,link,,2
AlmaDelaSierra1,KevinRolda7,link,,2
AlmaDelaSierra1,valdes_eros,link,,2
AlmaDelaSierra1,Angel24629683,link,,2
AjoOliva,lawhiteangel,link,,2
MarinaGianluca,Russ_Warrior,link,,3
MarinaGianluca,boscogonc,link,,1
MarinaGianluca,somsok5412,link,,1
MarinaGianluca,lucma66,link,,5
MarinaGianluca,MSlavetski,link,,1
MarinaGianluca,FromSevastopol,link,,2
jain_jugnu,RusEmbJakarta,link,,5
eagle_mist,vipintukur,link,,3
indiamei,NOEMIMARIANA1,link,,2
indiamei,r0xys,link,,4
lruiztrullols,Brusselsness,link,,2
G47Mil,Russ_Warrior,link,,1
G47Mil,Plagiste4you,link,,1
MarcoWetering,gricalc,link,,2
Rahim_Rugoba,Russ_Warrior,link,,1
Rahim_Rugoba,boscogonc,link,,1
Rahim_Rugoba,CiroAlbertoK1,link,,1
Zeupanne,SALAHBNMR,link,,2
Zeupanne,Plagiste4you,link,,4
WayneH87,Tricera,link,,6
josegilcas,ErikaOSanoja,link,,4
GonzaalezCamilo,wgoobar,link,,1
MinetteJohnson,electfrahughes,link,,13
FedeBlancoBont1,FMontespan,link,,8
FedeBlancoBont1,Santicabjpm,link,,1
FedeBlancoBont1,Gustavo95772104,link,,1
FedeBlancoBont1,ura_henrique,link,,1
HHMARTINL,JuanitaJaramill,link,,2
CiroAlbertoK1,wgoobar,link,,2
CiroAlbertoK1,Greta_Romario,link,,6
CiroAlbertoK1,pamemar1,link,,6
CiroAlbertoK1,Jdrk19,link,,2
CiroAlbertoK1,RosarioGerman60,link,,1
CiroAlbertoK1,Gustavo95772104,link,,2
CiroAlbertoK1,Rahim_Rugoba,link,,1
CiroAlbertoK1,notfarmerwife,link,,1
CiroAlbertoK1,erjadiaz,link,,2
CiroAlbertoK1,Silvia__Cuc,link,,2
CiroAlbertoK1,DoganKarabuluTV,link,,2
RGigi61,boscogonc,link,,1
fnajeraoficial1,CaraveoBertha,link,,3
fnajeraoficial1,CarlosDPicos,link,,1
LiLi80257229,Arthur560302,link,,1
LiLi80257229,Mont_Jiang,link,,1
VZGb5mpibRkB9y4,somsok5412,link,,3
arvanegas,lauradelialuque,link,,1
arvanegas,arturrr_,link,,2
nnsEschebach,JuanitaJaramill,link,,2
